service_name,is_known
apparmor.service,1
apport.service,1
apt-daily.service,1
apt-news.service,1
auditd.service,1
audit-rules.service,1
blk-availability.service,1
chrony.service,1
cloud-config.service,1
cloud-final.service,1
cloud-init-local.service,1
cloud-init-main.service,1
cloud-init-network.service,1
console-setup.service,1
dbus.service,1
dbus.socket,1
dracut-cmdline-ask.service,1
dracut-cmdline.service,1
dracut-shutdown.service,1
e2scrub_reap.service,1
esm-cache.service,1
finalrd.service,1
fwupd-refresh.service,1
fwupd.service,1
gpg-agent.socket,1
gpg-agent-ssh.socket,1
grub2-common.service,1
grub-initrd-fallback.service,1
kdump-tools.service,1
keyboard-setup.service,1
kmod-static-nodes.service,1
ldconfig.service,1
lvm2-monitor.service,1
lxd-installer.socket,1
ModemManager.service,1
modprobe@dm_multipath.service,1
modprobe@efi_pstore.service,1
modprobe@sd_mod.service,1
motd-news.service,1
multipathd-queueing.service,1
multipathd.service,1
netplan-configure.service,1
networkd-dispatcher.service,1
packagekit.service,1
plymouth-quit.service,1
plymouth-quit-wait.service,1
plymouth-read-write.service,1
polkit.service,1
rsyslog.service,1
setvtrgb.service,1
snapd.apparmor.service,1
snapd.seeded.service,1
snapd.service,1
snapd.socket,1
SplunkForwarder.service,1
ssh-agent.socket,1
ssh.service,1
sysstat-collect.service,1
sysstat.service,1
systemd-binfmt.service,1
systemd-fsck@dev-disk-by\x2duuid-1C05\x2dEA95.service,1
systemd-fsck@dev-disk-by\x2duuid-382fe7f3\x2d5731\x2d4908\x2d8409\x2df37ec83e750b.service,1
systemd-journal-catalog-update.service,1
systemd-journald.service,1
systemd-journal-flush.service,1
systemd-logind.service,1
systemd-modules-load.service,1
systemd-networkd-persistent-storage.service,1
systemd-networkd.service,1
systemd-networkd-wait-online.service,1
systemd-network-generator.service,1
systemd-random-seed.service,1
systemd-remount-fs.service,1
systemd-resolved.service,1
systemd-sysctl.service,1
systemd-sysusers.service,1
systemd-timedated.service,1
systemd-tmpfiles-clean.service,1
systemd-tmpfiles-setup-dev-early.service,1
systemd-tmpfiles-setup-dev.service,1
systemd-tmpfiles-setup.service,1
systemd-udevd.service,1
systemd-udev-load-credentials.service,1
systemd-udev-trigger.service,1
systemd-update-done.service,1
systemd-user-sessions.service,1
udisks2.service,1
ufw.service,1
update-notifier-download.service,1
user@1000.service,1
user-runtime-dir@1000.service,1
